"","pidp","birthy","sex","ypnpal","yppals","year","age","ypfpark","ypmkfrn","yppalo","ypsdqk"
"1",612001365,1981,1,6,1,1994,13,NA,NA,NA,NA
"2",68002049,1979,2,8,1,1994,15,NA,NA,NA,NA
"3",612004093,1979,2,5,2,1994,15,NA,NA,NA,NA
"4",17015,1981,2,5,2,1994,13,NA,NA,NA,NA
"5",40139,1982,2,2,1,1994,12,NA,NA,NA,NA
"6",40823,1983,1,10,1,1994,11,NA,NA,NA,NA
"7",39455,1980,1,7,1,1994,14,NA,NA,NA,NA
"8",612009533,1980,2,3,2,1994,14,NA,NA,NA,NA
"9",204012249,1980,1,10,2,1994,14,NA,NA,NA,NA
"10",55775,1983,2,3,2,1994,11,NA,NA,NA,NA
"11",75495,1979,2,1,1,1994,15,NA,NA,NA,NA
"12",76179,1982,2,10,1,1994,12,NA,NA,NA,NA
"13",206613245,1980,2,20,2,1994,14,NA,NA,NA,NA
"14",71293249,1980,1,0,2,1994,14,NA,NA,NA,NA
"15",71026685,1982,1,3,3,1994,12,NA,NA,NA,NA
"16",138055,1980,1,5,3,1994,14,NA,NA,NA,NA
"17",204027893,1983,1,3,3,1994,11,NA,NA,NA,NA
"18",751982765,1981,1,9,1,1994,13,NA,NA,NA,NA
"19",750800245,1980,2,12,4,1994,14,NA,NA,NA,NA
"20",160499,1982,1,2,1,1994,12,NA,NA,NA,NA
"21",159815,1981,2,1,2,1994,13,NA,NA,NA,NA
"22",163215,1980,2,10,1,1994,14,NA,NA,NA,NA
"23",476032653,1981,2,1,2,1994,13,NA,NA,NA,NA
"24",182255,1981,2,5,1,1994,13,NA,NA,NA,NA
"25",69833977,1982,1,2,2,1994,12,NA,NA,NA,NA
"26",410278005,1981,2,7,3,1994,13,NA,NA,NA,NA
"27",216251,1982,2,5,4,1994,12,NA,NA,NA,NA
"28",218975,1981,1,5,3,1994,13,NA,NA,NA,NA
"29",408042849,1979,1,5,1,1994,15,NA,NA,NA,NA
"30",242775,1982,2,7,1,1994,12,NA,NA,NA,NA
"31",750829489,1981,1,6,3,1994,13,NA,NA,NA,NA
"32",275368725,1980,1,5,1,1994,14,NA,NA,NA,NA
"33",275754285,1981,2,11,1,1994,13,NA,NA,NA,NA
"34",272050333,1983,1,3,1,1994,11,NA,NA,NA,NA
"35",408057133,1982,1,3,2,1994,12,NA,NA,NA,NA
"36",70800925,1982,1,30,1,1994,12,NA,NA,NA,NA
"37",295827,1980,2,3,2,1994,14,NA,NA,NA,NA
"38",70705725,1979,2,10,3,1994,15,NA,NA,NA,NA
"39",309415,1981,2,9,2,1994,13,NA,NA,NA,NA
"40",308731,1979,1,10,3,1994,15,NA,NA,NA,NA
"41",314859,1979,2,1,1,1994,15,NA,NA,NA,NA
"42",136068697,1980,2,NA,4,1994,14,NA,NA,NA,NA
"43",76165,1982,2,1,1,1994,12,NA,NA,NA,NA
"44",331863,1981,1,4,2,1994,13,NA,NA,NA,NA
"45",353615,1981,1,5,1,1994,13,NA,NA,NA,NA
"46",365175,1982,2,5,2,1994,12,NA,NA,NA,NA
"47",392379,1980,1,7,1,1994,14,NA,NA,NA,NA
"48",477777593,1982,2,10,2,1994,12,NA,NA,NA,NA
"49",410735,1982,1,1,1,1994,12,NA,NA,NA,NA
"50",476089089,1983,2,NA,1,1994,11,NA,NA,NA,NA
"51",751755645,1983,2,6,2,1994,11,NA,NA,NA,NA
"52",68097249,1980,1,7,2,1994,14,NA,NA,NA,NA
"53",454939,1982,2,25,2,1994,12,NA,NA,NA,NA
"54",454255,1981,1,10,2,1994,13,NA,NA,NA,NA
"55",204099973,1982,2,2,2,1994,12,NA,NA,NA,NA
"56",136102693,1980,2,15,2,1994,14,NA,NA,NA,NA
"57",682793445,1979,2,5,2,1994,15,NA,NA,NA,NA
"58",680107453,1983,2,12,2,1994,11,NA,NA,NA,NA
"59",680109489,1982,1,0,1,1994,12,NA,NA,NA,NA
"60",275396617,1983,1,7,1,1994,11,NA,NA,NA,NA
"61",547242925,1980,2,14,3,1994,14,NA,NA,NA,NA
"62",531779,1981,1,5,2,1994,13,NA,NA,NA,NA
"63",532463,1983,2,10,4,1994,11,NA,NA,NA,NA
"64",343842685,1980,2,3,2,1994,14,NA,NA,NA,NA
"65",575295,1980,1,NA,4,1994,14,NA,NA,NA,NA
"66",578695,1980,2,5,2,1994,14,NA,NA,NA,NA
"67",479051165,1981,2,4,2,1994,13,NA,NA,NA,NA
"68",476127849,1981,1,3,1,1994,13,NA,NA,NA,NA
"69",480035125,1979,2,10,1,1994,15,NA,NA,NA,NA
"70",71319085,1980,2,4,2,1994,14,NA,NA,NA,NA
"71",601139,1982,1,2,1,1994,12,NA,NA,NA,NA
"72",68136013,1982,1,8,2,1994,12,NA,NA,NA,NA
"73",70510565,1980,2,7,2,1994,14,NA,NA,NA,NA
"74",68138181,1981,2,10,2,1994,13,NA,NA,NA,NA
"75",68138733,1983,2,4,1,1994,11,NA,NA,NA,NA
"76",616099,1981,1,11,1,1994,13,NA,NA,NA,NA
"77",750949845,1982,1,3,2,1994,12,NA,NA,NA,NA
"78",748140089,1979,1,7,1,1994,15,NA,NA,NA,NA
"79",625619,1983,1,8,1,1994,11,NA,NA,NA,NA
"80",628339,1979,1,5,3,1994,15,NA,NA,NA,NA
"81",650095,1982,2,4,1,1994,12,NA,NA,NA,NA
"82",272152333,1983,1,20,1,1994,11,NA,NA,NA,NA
"83",673899,1983,2,4,1,1994,11,NA,NA,NA,NA
"84",673215,1979,1,7,1,1994,15,NA,NA,NA,NA
"85",274132493,1982,2,3,2,1994,12,NA,NA,NA,NA
"86",751493845,1980,2,10,2,1994,14,NA,NA,NA,NA
"87",275379605,1980,1,6,1,1994,14,NA,NA,NA,NA
"88",692259,1981,1,5,1,1994,13,NA,NA,NA,NA
"89",699735,1982,1,11,2,1994,12,NA,NA,NA,NA
"90",705859,1981,2,5,1,1994,13,NA,NA,NA,NA
"91",711299,1979,1,15,3,1994,15,NA,NA,NA,NA
"92",479849485,1981,2,3,2,1994,13,NA,NA,NA,NA
"93",410881849,1979,1,9,3,1994,15,NA,NA,NA,NA
"94",343038925,1978,2,5,2,1994,16,NA,NA,NA,NA
"95",343648885,1978,1,0,2,1994,16,NA,NA,NA,NA
"96",139638685,1983,1,5,1,1994,11,NA,NA,NA,NA
"97",139419725,1982,1,1,2,1994,12,NA,NA,NA,NA
"98",138529605,1979,2,8,1,1994,15,NA,NA,NA,NA
"99",136176133,1983,1,9,2,1994,11,NA,NA,NA,NA
"100",816178913,1983,2,5,1,1994,11,NA,NA,NA,NA
"101",819321805,1979,1,5,1,1994,15,NA,NA,NA,NA
"102",809219,1979,1,20,4,1994,15,NA,NA,NA,NA
"103",342686005,1982,2,4,1,1994,12,NA,NA,NA,NA
"104",822819,1979,1,8,1,1994,15,NA,NA,NA,NA
"105",748187013,1978,1,5,1,1994,16,NA,NA,NA,NA
"106",184965,1982,1,20,3,1994,12,NA,NA,NA,NA
"107",830983,1982,1,4,3,1994,12,NA,NA,NA,NA
"108",829615,1979,1,15,2,1994,15,NA,NA,NA,NA
"109",830299,1982,1,10,2,1994,12,NA,NA,NA,NA
"110",816191093,1981,1,6,3,1994,13,NA,NA,NA,NA
"111",819869205,1979,1,5,4,1994,15,NA,NA,NA,NA
"112",850027,1983,1,4,1,1994,11,NA,NA,NA,NA
"113",849343,1980,1,9,1,1994,14,NA,NA,NA,NA
"114",819173565,1982,1,4,2,1994,12,NA,NA,NA,NA
"115",818157645,1980,2,1,1,1994,14,NA,NA,NA,NA
"116",819874645,1982,1,9,3,1994,12,NA,NA,NA,NA
"117",412045325,1980,2,6,2,1994,14,NA,NA,NA,NA
"118",207501325,1979,1,6,1,1994,15,NA,NA,NA,NA
"119",207003565,1981,2,3,2,1994,13,NA,NA,NA,NA
"120",886055,1979,1,3,2,1994,15,NA,NA,NA,NA
"121",138643165,1979,2,4,2,1994,15,NA,NA,NA,NA
"122",137942085,1979,2,2,3,1994,15,NA,NA,NA,NA
"123",913255,1979,2,12,2,1994,15,NA,NA,NA,NA
"124",915975,1981,2,4,2,1994,13,NA,NA,NA,NA
"125",919387,1983,2,24,2,1994,11,NA,NA,NA,NA
"126",340210813,1981,1,0,1,1994,13,NA,NA,NA,NA
"127",926871,1980,2,7,3,1994,14,NA,NA,NA,NA
"128",340212173,1979,2,4,4,1994,15,NA,NA,NA,NA
"129",409843489,1979,1,7,4,1994,15,NA,NA,NA,NA
"130",931615,1983,1,16,2,1994,11,NA,NA,NA,NA
"131",206720005,1980,1,3,3,1994,14,NA,NA,NA,NA
"132",939779,1981,2,4,2,1994,13,NA,NA,NA,NA
"133",940463,1983,1,10,2,1994,11,NA,NA,NA,NA
"134",939095,1979,2,8,2,1994,15,NA,NA,NA,NA
"135",943171,1983,1,2,2,1994,11,NA,NA,NA,NA
"136",950659,1983,1,10,3,1994,11,NA,NA,NA,NA
"137",615676765,1982,2,3,4,1994,12,NA,NA,NA,NA
"138",615676777,1982,2,2,2,1994,12,NA,NA,NA,NA
"139",615735933,1979,1,3,1,1994,15,NA,NA,NA,NA
"140",615735937,1982,2,6,4,1994,12,NA,NA,NA,NA
"141",960175,1981,1,6,2,1994,13,NA,NA,NA,NA
"142",967655,1980,2,3,1,1994,14,NA,NA,NA,NA
"143",971059,1982,1,4,2,1994,12,NA,NA,NA,NA
"144",970375,1981,2,5,1,1994,13,NA,NA,NA,NA
"145",989427,1981,2,7,1,1994,13,NA,NA,NA,NA
"146",411808005,1981,2,3,1,1994,13,NA,NA,NA,NA
"147",994179,1983,2,10,2,1994,11,NA,NA,NA,NA
"148",1002343,1979,2,10,3,1994,15,NA,NA,NA,NA
"149",411816165,1983,1,12,1,1994,11,NA,NA,NA,NA
"150",1015259,1981,2,4,1,1994,13,NA,NA,NA,NA
"151",1014575,1980,2,6,1,1994,14,NA,NA,NA,NA
"152",1023419,1983,2,4,1,1994,11,NA,NA,NA,NA
"153",1022735,1980,2,2,2,1994,14,NA,NA,NA,NA
"154",1024095,1983,1,6,2,1994,11,NA,NA,NA,NA
"155",1026135,1980,1,0,1,1994,14,NA,NA,NA,NA
"156",1025451,1980,1,2,1,1994,14,NA,NA,NA,NA
"157",1027491,1982,2,4,1,1994,12,NA,NA,NA,NA
"158",818656085,1980,2,5,2,1994,14,NA,NA,NA,NA
"159",411882805,1983,2,3,1,1994,11,NA,NA,NA,NA
"160",1038375,1983,1,4,2,1994,11,NA,NA,NA,NA
"161",544245489,1980,1,10,2,1994,14,NA,NA,NA,NA
"162",1062859,1983,2,18,3,1994,11,NA,NA,NA,NA
"163",1081895,1982,2,4,1,1994,12,NA,NA,NA,NA
"164",408257053,1983,1,5,2,1994,11,NA,NA,NA,NA
